No.,级别,语法项目,类别,细目,语法内容
450,高等,短语,固定短语,其他,无论如何
451,高等,短语,固定短语,其他,由此可见
452,高等,固定格式,不知……好,,
453,高等,固定格式,所谓……就是……,,
454,高等,固定格式,无非/不过/只不过/只是……而已/罢了,,
455,高等,固定格式,以……为……,,
456,高等,固定格式,因……而……,,
457,高等,句子成分,宾语,"宾语的语义类型3：  
（1）方式宾语（2）工具宾语（3）材料宾语（4）目的宾语",
458,高等,句子成分,补语,程度补语,程度补语3：（1）形容词/动词+得+不行（2）形容词/动词+得+要命/要死
459,高等,句子成分,补语,状态补语,状态补语3：“个”引导的补语
460,高等,句子的类型,特殊句型,“把”字句,"“把”字句5：表致使  
（主语+）把+宾语（施事）+动词+了"
461,高等,句子的类型,特殊句型,被动句,被动句5：（1）被……所……（2）为……所……
462,高等,句子的类型,特殊句型,比较句,"比较句6：（1）比起……（来） 
（2）A +形容词+于+ B  
（3）A +比+名词+还+名词"
463,高等,句子的类型,复句,并列复句,一面……，一面……
464,高等,句子的类型,复句,承接复句,……，此后……
465,高等,句子的类型,复句,承接复句,起初……，……才……
466,高等,句子的类型,复句,递进复句,别说……，连……也/都……；连……也/都……，别说……；别说……， 即使……也……；即使……也……，别说……
467,高等,句子的类型,复句,递进复句,……，况且……
468,高等,句子的类型,复句,递进复句,连……，更不用说……
469,高等,句子的类型,复句,递进复句,……，乃至……
470,高等,句子的类型,复句,递进复句,……，且……
471,高等,句子的类型,复句,递进复句,……，甚至于……
472,高等,句子的类型,复句,选择复句,或……，或……
473,高等,句子的类型,复句,选择复句,宁可/宁愿……，也……
474,高等,句子的类型,复句,选择复句,与其……，不如……
475,高等,句子的类型,复句,选择复句,与其……，宁可/宁愿……
476,高等,句子的类型,复句,转折复句,……，而……（则）……
477,高等,句子的类型,复句,转折复句,……，……倒/反倒……
478,高等,句子的类型,复句,假设复句,倘若/若……，……
479,高等,句子的类型,复句,假设复句,倘若/假设/假使/若……，就/那（么）……
480,高等,句子的类型,复句,假设复句,幸亏……，要不然/不然/要不/否则……
481,高等,句子的类型,复句,条件复句,别管……，都……
482,高等,句子的类型,复句,条件复句,任……，也……
483,高等,句子的类型,复句,因果复句,（因）……，故……
484,高等,句子的类型,复句,因果复句,鉴于……，……
485,高等,句子的类型,复句,因果复句,（由于）……，以致……
486,高等,句子的类型,复句,因果复句,……，以至于……
487,高等,句子的类型,复句,因果复句,之所以……，是因为/是由于……
488,高等,句子的类型,复句,让步复句,固然……，也……
489,高等,句子的类型,复句,让步复句,……固然……，但是/可是/不过……
490,高等,句子的类型,复句,让步复句,即便……，也……
491,高等,句子的类型,复句,让步复句,虽说……，但是/可是/不过……
492,高等,句子的类型,复句,让步复句,纵然……，也……
493,高等,句子的类型,复句,目的复句,……，以……
494,高等,句子的类型,复句,目的复句,……，以免/免得……
495,高等,句子的类型,复句,解说复句,……，也就是说……
496,高等,句子的类型,复句,紧缩复句,（要+）动词+就+动词+个+补语
497,高等,句子的类型,复句,紧缩复句,动词（+宾语1）+就+动词（+宾语1），别……
498,高等,句子的类型,复句,多重复句,三重或三重以上的复句
499,高等,强调的方法,"用反问句表示强调 
反问句3：何必/何苦……呢？",,
500,高等,口语格式,（不过/但/可是）话又说回来，……,,
501,高等,口语格式,X（也）不是，不X也不是,,
502,高等,口语格式,X也好/也罢，Y也好/也罢,,
503,高等,口语格式,X了又Y，Y了又X,,
504,高等,口语格式,X也X不……，Y也Y不……,,
505,高等,口语格式,别提（有）多X了,,
506,高等,口语格式,不知X的,,
507,高等,口语格式,话（说）是这么说，不过/可/可是……,,
508,高等,口语格式,看/瞧你那（X）样,,
509,高等,口语格式,看在X的面子上,,
510,高等,口语格式,哪有X这么Y的/有X这样Y的吗,,
511,高等,口语格式,什么X的Y的,,
512,高等,口语格式,说到/想到哪儿去了,,
513,高等,口语格式,无所谓X不X,,
514,高等,口语格式,要X有/没X，要Y有/没Y,,
515,高等,句群,形式分类,带关联词语,带关联词语
516,高等,句群,形式分类,不带关联词语,不带关联词语
517,高等,句群,意义分类,联合关系：并列句群、承接句群、递进句群、选择句群、解说句群、总括句群,
518,高等,句群,意义分类,偏正关系：条件句群、因果句群、目的句群、转折句群、假设句群、让步句群,
519,高等,词类,副词,程度副词,极为
520,高等,词类,副词,程度副词,尽
521,高等,词类,副词,程度副词,蛮
522,高等,词类,副词,程度副词,颇
523,高等,词类,副词,程度副词,稍稍
524,高等,词类,副词,程度副词,尤为
525,高等,词类,副词,程度副词,越发
526,高等,句子的类型,复句,递进复句,……，何况……
527,高等,句子的类型,复句,递进复句,……，进而……
528,高等,词类,副词,范围、协同副词,凡
529,高等,词类,副词,范围、协同副词,皆
530,高等,词类,副词,范围、协同副词,统统
531,高等,词类,副词,范围、协同副词,唯独
532,高等,词类,副词,方式副词,不由得
533,高等,词类,副词,方式副词,一连
534,高等,词类,副词,方式副词,顺便
535,高等,词类,副词,否定副词,未
536,高等,词类,副词,否定副词,勿
537,高等,词类,副词,频率、重复副词,频频
538,高等,词类,副词,频率、重复副词,再度
539,高等,短语,固定短语,其他,与此同时
540,高等,短语,固定短语,其他,这样一来
541,高等,短语,固定短语,其他,综上所述
542,高等,短语,固定短语,其他,总的来说/总而言之
543,高等,词类,副词,情态副词,必定
544,高等,词类,副词,情态副词,不妨
545,高等,词类,副词,情态副词,何必
546,高等,词类,副词,情态副词,莫非
547,高等,词类,副词,情态副词,按说
548,高等,词类,副词,时间副词,即
549,高等,词类,副词,时间副词,历来
550,高等,词类,副词,时间副词,尚
551,高等,词类,副词,时间副词,向来
552,高等,词类,介词,引出对象,当着
553,高等,词类,介词,引出对象,就5
554,高等,词类,介词,引出凭借、依据,趁
555,高等,词类,介词,引出凭借、依据,基于
556,高等,词类,介词,引出凭借、依据,依
557,高等,词类,副词,语气副词,白白
558,高等,词类,副词,语气副词,反倒
559,高等,词类,副词,语气副词,分明
560,高等,词类,副词,语气副词,怪不得
561,高等,词类,副词,语气副词,好在
562,高等,词类,副词,语气副词,乃
563,高等,词类,副词,语气副词,难怪
564,高等,词类,副词,语气副词,偏偏
565,高等,词类,副词,语气副词,索性
566,高等,词类,副词,语气副词,万万
567,高等,词类,副词,语气副词,未免
568,高等,词类,副词,语气副词,无非
569,高等,词类,副词,语气副词,幸好
570,高等,词类,副词,语气副词,幸亏
571,高等,词类,副词,语气副词,终究
572,高等,词类,助词,语气助词,而已
573,高等,词类,助词,语气助词,矣
