No.,级别,词语,拼音,词性
463,高等,别提了,biétí le,
464,高等,别致,biézhì,形
465,高等,别扭,bièniu,形
466,五级,宾馆,bīnguǎn,名
467,高等,彬彬有礼,bīnbīn-yǒulǐ,
468,高等,滨海,bīn hǎi,
469,高等,缤纷,bīnfēn,形
470,四级,冰,bīng,名
471,高等,冰棍儿,bīnggùnr,名
472,高等,冰山,bīngshān,名
473,四级,冰箱,bīngxiāng,名
474,四级,冰雪,bīngxuě,名、形
475,四级,兵,bīng,名
476,高等,丙,bǐng,名
477,高等,秉承,bǐngchéng,动
478,五级,饼,bǐng,名
479,五级,饼干,bǐnggān,名
480,三级,并,bìng,副、连
481,四级,并,bìng,动
482,高等,并非,bìngfēi,动
483,高等,并购,bìnggòu,动
484,高等,并列,bìngliè,动
485,三级,并且,bìngqiě,连
486,高等,并行,bìngxíng,动
487,一级,病,bìng,名、动
488,高等,病床,bìngchuáng,名
489,五级,病毒,bìngdú,名
490,六级,病房,bìngfáng,名
491,六级,病情,bìngqíng,名
492,一级,病人,bìngrén,名
493,高等,病症,bìngzhèng,名
494,高等,拨,bō,动
495,六级,拨打,bōdǎ,动
496,高等,拨款,bōkuǎn,名
497,高等,拨通,bōtōng,
498,六级,波动,bōdòng,动
499,高等,波及,bōjí,动
500,高等,波澜,bōlán,名
501,六级,波浪,bōlàng,名
502,高等,波涛,bōtāo,名
503,高等,波折,bōzhé,名
504,五级,玻璃,bōli,名
505,高等,剥夺,bōduó,动
506,高等,剥削,bōxuē,动、名
507,六级,播,bō,动
508,三级,播出,bōchū,
509,三级,播放,bōfàng,动
510,高等,伯伯,bóbo,名
511,高等,伯父,bófù,名
512,高等,伯母,bómǔ,名
513,高等,驳回,bóhuí,动
514,高等,脖子,bózi,名
515,五级,博客,bókè,名
516,五级,博览会,bólǎnhuì,名
517,五级,博士,bóshì,名
518,五级,博物馆,bówùguǎn,名
519,高等,搏斗,bódòu,动
520,五级,薄弱,bóruò,形
521,三级,不必,búbì,副
522,六级,不便,búbiàn,形、动
523,二级,不错,búcuò,形
524,一级,不大,bú dà,
526,二级,不但,búdàn,连
527,高等,不定,búdìng,形、副
528,三级,不断,búduàn,动、副
529,一级,不对,búduì,形
530,二级,不够,búgòu,动、副
531,五级,不顾,búgù,动
532,二级,不过,búguò,连
533,六级,不见,bújiàn,动
534,高等,不见得,bújiàn·dé,副
535,一级,不客气,bú kèqì,
536,五级,不利,búlì,形
537,高等,不利于,búlì yú,
538,六级,不料,búliào,连
539,三级,不论,búlùn,连
540,五级,不耐烦,bú nàifán,
541,高等,不慎,búshèn,形
542,高等,不适,búshì,形
543,高等,不算,bú suàn,
544,二级,不太,bú tài,
545,高等,不像话,búxiànghuà,形
546,高等,不屑,búxiè,动
547,高等,不懈,búxiè,形
548,五级,不幸,búxìng,形
549,高等,不亚于,búyàyú,动
550,二级,不要,búyào,副
551,四级,不要紧,búyàojǐn,形
552,高等,不亦乐乎,búyìlèhū,
553,五级,不易,búyì,形
554,高等,不翼而飞,búyì’érfēi,
555,一级,不用,búyòng,副
556,高等,不用说,búyòngshuō,
557,六级,不再,búzài,动
558,四级,不在乎,búzàihu,动
559,高等,不正之风,búzhèngzhīfēng,
560,六级,不至于,búzhìyú,动
561,三级,补,bǔ,动
562,五级,补偿,bǔcháng,动
563,三级,补充,bǔchōng,动、名
564,高等,补给,bǔjǐ,动、名
565,高等,补救,bǔjiù,动
566,六级,补考,bǔkǎo,动
567,六级,补课,bǔ∥kè,
568,五级,补贴,bǔtiē,动、名
569,六级,补习,bǔxí,动
570,六级,补助,bǔzhù,动、名
571,六级,捕,bǔ,动
572,高等,捕捉,bǔzhuō,动
573,高等,哺育,bǔyù,动
574,一级,不,bù,副
575,三级,不安,bù’ān,形
576,五级,不曾,bùcéng,副
577,六级,不成,bùchéng,动、形
578,高等,不耻下问,bùchǐ-xiàwèn,
579,高等,不辞而别,bùcí’érbié,
580,三级,不得不,bùdébù,
581,高等,不得而知,bùdé’érzhī,
582,五级,不得了,bùdéliǎo,形
583,高等,不得已,bùdéyǐ,形
584,高等,不妨,bùfáng,副
585,高等,不服,bùfú,动
586,高等,不服气,bù fúqì,
587,五级,不敢当,bùgǎndāng,动
588,四级,不管,bùguǎn,连
589,三级,不光,bùguāng,副、连
590,二级,不好意思,bù hǎoyìsi,
591,高等,不假思索,bùjiǎ-sīsuǒ,
592,高等,不解,bùjiě,动
593,六级,不禁,bùjīn,副
594,三级,不仅,bùjǐn,连
595,六级,不仅仅,bù jǐnjǐn,
596,高等,不经意,bùjīngyì,动
597,高等,不景气,bùjǐngqì,形
598,二级,不久,bùjiǔ,形
599,高等,不堪,bùkān,动、形
600,高等,不可避免,bùkě-bìmiǎn,
601,高等,不可思议,bùkě-sīyì,
602,高等,不肯,bù kěn,
603,高等,不理,bù lǐ,
604,五级,不良,bùliáng,形
605,高等,不了了之,bùliǎo-liǎozhī,
606,二级,不满,bùmǎn,形
607,五级,不免,bùmiǎn,副
608,高等,不难,bù nán,
609,五级,不能不,bù néng bù,
610,高等,不平,bùpíng,形、名
611,高等,不起眼,bùqǐyǎn,
612,四级,不然,bùrán,连
613,高等,不容,bùróng,动
614,二级,不如,bùrú,动
615,高等,不如说,bùrú shuō,
616,二级,不少,bù shǎo,
617,五级,不时,bùshí,副
618,五级,不停,bù tíng,
619,六级,不通,bùtōng,动
620,二级,不同,bù tóng,
621,高等,不同寻常,bùtóng-xúncháng,
622,高等,不为人知,bùwéirénzhī,
623,高等,不惜,bùxī,动
624,高等,不相上下,bùxiāng-shàngxià,
625,二级,不行,bùxíng,动、形
626,五级,不许,bùxǔ,动
627,二级,不一定,bùyídìng,副
628,二级,不一会儿,bù yíhuìr,
629,高等,不宜,bùyí,动
630,高等,不已,bùyǐ,动
631,高等,不以为然,bùyǐwéirán,
632,高等,不由得,bùyóude,动、副
633,高等,不由自主,bùyóuzìzhǔ,
634,高等,不予,bù yǔ,
635,高等,不约而同,bùyuē’értóng,
636,六级,不怎么,bùzěnme,副
637,六级,不怎么样,bùzěnmeyàng,
638,高等,不知,bùzhī,动
639,高等,不知不觉,bùzhī-bùjué,
640,六级,不值,bùzhí,动
641,五级,不止,bùzhǐ,动
642,高等,不准,bù zhǔn,
643,五级,不足,bùzú,形、动
644,三级,布,bù,名
645,高等,布局,bùjú,名、动
646,六级,布满,bùmǎn,
647,四级,布置,bùzhì,动
648,三级,步,bù,名、量
649,高等,步伐,bùfá,名
650,高等,步入,bùrù,动
651,四级,步行,bùxíng,动
652,高等,步骤,bùzhòu,名
653,三级,部,bù,名、量
654,六级,部队,bùduì,名
655,二级,部分,bùfen,名
656,高等,部件,bùjiàn,名
657,三级,部门,bùmén,名
658,高等,部署,bùshǔ,动
659,五级,部位,bùwèi,名
660,三级,部长,bùzhǎng,名
661,四级,擦,cā,动
662,五级,猜,cāi,动
663,五级,猜测,cāicè,动
664,高等,猜谜,cāi∥mí,
665,高等,才,cāixiǎng,动
666,二级,才,cái,副
667,四级,才（名）,cái,名
668,高等,才华,cáihuá,名
669,三级,才能,cáinéng,名
670,四级,材料,cáiliào,名
671,四级,财产,cáichǎn,名
672,四级,财富,cáifù,名
673,高等,财经,cáijīng,名
674,高等,财力,cáilì,名
675,高等,财务,cáiwù,名
676,高等,财物,cáiwù,名
677,高等,财政,cáizhèng,名
678,高等,裁,cái,动
679,高等,裁定,cáidìng,动
680,高等,裁决,cáijué,动
681,五级,裁判,cáipàn,动、名
682,高等,采,cǎi,动
683,四级,采访,cǎifǎng,动、名
684,五级,采购,cǎigòu,动、名
685,高等,采集,cǎijí,动
686,高等,采矿,cǎi∥kuàng,
687,六级,采纳,cǎinà,动
688,三级,采取,cǎiqǔ,动
689,三级,采用,cǎiyòng,动
690,高等,彩电,cǎidiàn,名
691,高等,彩虹,cǎihóng,名
692,五级,彩票,cǎipiào,名
693,三级,彩色,cǎisè,名
694,高等,彩霞,cǎixiá,名
695,六级,踩,cǎi,动
696,一级,菜,cài,名
697,二级,菜单,càidān,名
698,高等,菜市场,càishìchǎng,名
699,二级,参观,cānguān,动
700,二级,参加,cānjiā,动
701,高等,参见,cānjiàn,动
702,高等,参军,cān∥jūn,
703,四级,参考,cānkǎo,动
704,高等,参谋,cānmóu,动、名
705,六级,参赛,cānsài,动
706,四级,参与,cānyù,动
707,六级,参展,cānzhǎn,动
708,高等,参照,cānzhào,动
709,六级,餐,cān,量
710,五级,餐馆,cānguǎn,名
711,五级,餐厅,cāntīng,名
712,五级,餐饮,cānyǐn,名
713,高等,餐桌,cānzhuō,名
714,高等,残,cán,动
715,六级,残疾,cán·jí,名
716,六级,残疾人,cán·jírén,名
717,六级,残酷,cánkù,形
718,高等,残留,cánliú,动
719,高等,残缺,cánquē,动
720,高等,残忍,cánrěn,形
721,高等,惭愧,cánkuì,形
722,六级,惨,cǎn,形
723,高等,惨白,cǎnbái,形
724,高等,惨痛,cǎntòng,形
725,高等,惨重,cǎnzhòng,形
726,高等,灿烂,cànlàn,形
727,六级,仓库,cāngkù,名
728,高等,苍蝇,cāngying,名
729,高等,沧桑,cāngsāng,名
730,高等,舱,cāng,名
731,六级,藏,cáng,动
732,高等,藏匿,cángnì,动
733,高等,藏品,cángpǐn,名
734,高等,藏身,cángshēn,动
735,四级,操场,cāochǎng,名
736,高等,操控,cāokòng,动
737,高等,操劳,cāoláo,动
738,高等,操心,cāo∥xīn,
739,六级,操纵,cāozòng,动
740,四级,操作,cāozuò,动
741,高等,槽,cáo,名
742,二级,草,cǎo,名
743,高等,草案,cǎo’àn,名
744,二级,草地,cǎodì,名
745,高等,草坪,cǎopíng,名
746,五级,草原,cǎoyuán,名
747,五级,册,cè,量
748,六级,厕所,cèsuǒ,名
749,六级,侧,cè,名、动
750,高等,侧面,cèmiàn,名
751,高等,侧重,cèzhòng,动
752,四级,测,cè,动
753,六级,测定,cèdìng,动
754,四级,测量,cèliáng,动
755,四级,测试,cèshì,动、名
756,高等,测算,cèsuàn,动
757,高等,测验,cèyàn,动、名
758,六级,策划,cèhuà,动
759,六级,策略,cèlüè,名
760,二级,层,céng,量
761,高等,层出不穷,céngchū-bùqióng,
762,五级,层次,céngcì,名
763,六级,层面,céngmiàn,名
764,四级,曾,céng,副
765,三级,曾经,céngjīng,副
766,高等,蹭,cèng,动
767,五级,叉,chā,动
768,五级,叉子,chāzi,名
769,五级,差别,chābié,名
770,高等,差错,chācuò,名
771,高等,差额,chā’é,名
772,五级,差距,chājù,名
773,六级,差异,chāyì,名
774,五级,插,chā,动
775,高等,插手,chā∥shǒu,
776,高等,插图,chātú,名
777,高等,插嘴,chā∥zuǐ,
778,一级,茶,chá,名
779,高等,茶道,chádào,名
780,高等,茶馆儿,cháguǎnr,名
781,四级,茶叶,cháyè,名
782,二级,查,chá,动
783,六级,查出,cháchū,
784,高等,查处,cháchǔ,动
785,六级,查看,chákàn,动
786,高等,查明,chámíng,动
787,五级,查询,cháxún,动
788,高等,查找,cházhǎo,动
789,高等,察觉,chájué,动
790,高等,察看,chákàn,动
791,高等,诧异,chàyì,形
792,一级,差,chà,动、形
793,二级,差不多,chàbuduō,形、副
794,五级,差（一）点儿,chà(yì)diǎnr,副
795,五级,拆,chāi,动
796,五级,拆除,chāichú,动
797,六级,拆迁,chāiqiān,动
798,高等,掺,chān,动
799,高等,搀,chān,动
800,高等,馋,chán,形、动
801,高等,禅杖,chánzhàng,名
802,高等,缠,chán,动
803,高等,产,chǎn,动
804,高等,产地,chǎndì,名
805,六级,产量,chǎnliàng,名
806,四级,产品,chǎnpǐn,名
807,三级,产生,chǎnshēng,动
808,高等,产物,chǎnwù,名
809,五级,产业,chǎnyè,名
810,高等,产值,chǎnzhí,名
811,高等,铲,chǎn,动
812,高等,铲子,chǎnzi,名
813,高等,阐述,chǎnshù,动
814,高等,颤抖,chàndǒu,动
815,六级,昌盛,chāngshèng,形
816,高等,猖狂,chāngkuáng,形
817,二级,长,cháng,形
818,三级,长城,chángchéng,名
819,三级,长处,chángchù,名
820,高等,长达,cháng dá,
821,五级,长度,chángdù,名
822,六级,长短,chángduǎn,名
823,六级,长假,chángjià,名
824,六级,长久,chángjiǔ,形
825,六级,长跑,chángpǎo,名
826,三级,长期,chángqī,名
827,高等,长期以来,chángqī yǐlái,
828,五级,长寿,chángshòu,形
829,四级,长途,chángtú,形、名
830,高等,长效,chángxiào,名、形
